         time                     X [m]               Y [m]               Z [m]          Long [deg]      Lat [deg]          h [m]        E(Acc) [m]        N(Acc) [m]       Up(Acc) [m]        E(Pre) [m]        N(Pre) [m]       Up(Pre) [m]           Tot Sat               Gal               GPS              GDOP
2013-Sep-20 09:11:21         4171692.43479        872115.10007       4730014.47253       11.80794       48.17155      531.34234          -5.09053           5.51887           6.75168          -3.27757           1.92281          -2.24385                 7                 3                 4              2.38
2013-Sep-20 09:11:21         4171689.58404        872113.24592       4730011.76733       11.80792       48.17155      527.21260          -6.32209           6.07676           2.62194          -4.50913           2.48070          -6.37360                 7                 3                 4              2.38
2013-Sep-20 09:11:21         4171687.85016        872113.63447       4730009.92018       11.80793       48.17155      524.75737          -5.58695           6.05030           0.16671          -3.77399           2.45424          -8.82882                 7                 3                 4              2.38
2013-Sep-20 09:11:21         4171691.22319        872115.50950       4730013.20333       11.80795       48.17155      529.66156          -4.44183           5.49372           5.07090          -2.62888           1.89766          -3.92463                 7                 3                 4              2.38
2013-Sep-20 09:11:21         4171693.69204        872115.61457       4730015.27022       11.80794       48.17154      532.82767          -4.84420           5.05539           8.23701          -3.03124           1.45933          -0.75852                 7                 3                 4              2.38
2013-Sep-20 09:11:21         4171693.07652        872115.21531       4730014.89055       11.80794       48.17155      532.08847          -5.10905           5.31202           7.49781          -3.29610           1.71595          -1.49772                 7                 3                 4              2.38
2013-Sep-20 09:11:21         4171695.51663        872117.05085       4730017.93873       11.80795       48.17155      536.20318          -3.81168           5.28522          11.61252          -1.99872           1.68915           2.61699                 7                 3                 4              2.38
2013-Sep-20 09:11:21         4171696.10233        872118.79374       4730020.28856       11.80798       48.17155      538.57433          -2.22552           6.15937          13.98367          -0.41256           2.56330           4.98814                 7                 3                 4              2.38
2013-Sep-20 09:11:21         4171693.70936        872116.51201       4730016.36786       11.80795       48.17155      533.77935          -3.96929           5.63794           9.18869          -2.15633           2.04187           0.19316                 7                 3                 4              2.38
2013-Sep-20 09:11:21         4171695.52706        872116.89264       4730019.52815       11.80795       48.17155      537.37275          -3.96867           6.36172          12.78209          -2.15571           2.76566           3.78656                 7                 3                 4              2.38
